decision_id,question,current_behavior,decision,evidence,source_finding_ids,affected_issues,tbx_impact,status,deferred_issue
WIN-003,行動不能を通常敗北に含めるか,方策評価ではabort、本体ルールには独立敗北なし,known stateだけから推測した行動不能を通常敗北条件にしない。入力終了・turn limit・評価方策停止はabortとして区別する,"自動評価にABORTED_NO_POLICY_ACTIONを保持",P1B-001;P1B-011,#1053;#1055;#1056,actual map依存の敗北判定を禁止する,DECIDED,-
GEN-001,到達不能盤面をどう扱うか,requested_seed+iを最大100回試す,Hへ実際に到達可能な候補だけを採用し、requested_seedから順に最大100候補を試す,"reroll_rate=0.012、generation error fixture",P1B-011,#1050;#1051,候補seed列と上限をPythonと一致させる,DECIDED,-
GEN-002,seed情報をどう記録するか,requested/effective/rerollを保持,requested_seed、effective_seed、reroll_countを状態とGameLogに必須記録し、seed overflowはgeneration errorとする,"再現性とschema v3契約",P1B-012,#1051;#1056,再現用メタデータを保存する,DECIDED,-
RNG-001,PythonとTBXのRNGを完全互換にするか,未決,fixture注入方式を採用する。通常生成のseed->map完全一致は要求せず、統合テストではJSON fixtureのactual mapをロードする,"言語間RNG差を避け、状態遷移一致を優先",P1B-012,#1050;#1051;#1056,テスト用actual map注入経路を実装する,DECIDED,-
UI-001,使用済みRをどう表示するか,Python表示では未使用と区別しにくい,Phase 1通常UIでは未使用Rを`R`、使用済みRを`r`で永続表示し、凡例と直前イベント文を付ける,"seed 6敗北、readability_score=2.6/5",P1B-004;P1B-010,#1054,known cellとused_resource_positionsを合成して描画する,DECIDED,-
UI-002,発見済み断層をどう表示するか,ログ上のみ明確,Phase 1通常UIでは発見済み断層が存在することを永続表示し、現在地周辺表示では閉鎖方向を判別可能にする。具体的なBraille/SRS最終形式は#1076へ送る,"rift_asymmetry_score=1.4/5、複数seedで指摘",P1B-008;P1B-010,#1054,最低表示契約を実装し詳細デザインを分離する,DECIDED,-
UI-003,断層だけ未知であることをどう説明するか,暗黙,「通常セル情報はスキャンで開示される。断層は通常センサーでは確定できず、航行試行時の空間応答で初めて既知になる」とルール文に明記する,"P1B-008のADJUSTMENT",P1B-008,#1054;#1055,help/説明文へ固定文言を追加する,DECIDED,-
UI-004,通常HUDへ何を出すか,Pythonは評価情報を多く保持,通常HUDはマップ、現在位置、remaining/max fuel、turn、game status、直前移動結果、直前補給結果、help導線に限定する,"情報量は十分だがreadability=2.6/5",P1B-012,#1054;#1055,診断カウンタを常時表示しない,DECIDED,-
UI-005,詳細表示設計をいつ行うか,未決,マクロマップ・局所SRS・Braille・端末幅・アクセシビリティの最終設計をPhase 2へ延期する,"Phase 1BのPHASE_2 finding",P1B-012,#1076;#1054,Phase 1では意味契約のみ固定する,DEFERRED,#1076
LOG-001,GameLog schemaは何か,schema v3,TBX Phase 1はGameLog schema version 3とTurnEventの現行必須項目を採用する,"#1066/#1068/#1058の正本",P1B-012,#1056,Python/TBX比較の外部契約とする,DECIDED,-
LOG-002,継続計測する指標は何か,補給・断層・seed・outcomeを記録,turn_count、remaining_fuel、B/R visit/refuel、used R、rift attempts、invalid/rejected actions、requested/effective seed、reroll、outcomeを保持する,"Phase 1B統合評価で使用",P1B-002;P1B-005;P1B-012,#1056,テレメトリと回帰比較に利用する,DECIDED,-
